variant,sample_id,stamp_s,rx_x,rx_y,rx_z,anchor_id,anchor_name,anchor_best_power_db,anchor_best_path_type,anchor_best_tau_s
00_baseline,2,1773629139.564635277,60.609748840,-0.002647649,0.000000000,4,BS 4,-82.792320365,LOS,3.13546763664e-07
00_baseline,2,1773629139.564635277,60.609748840,-0.002647649,0.000000000,5,BS 5,-85.815151949,LOS,4.44064227167e-07
00_baseline,2,1773629139.564635277,60.609748840,-0.002647649,0.000000000,6,BS 6,-88.392569963,LOS,5.97496409682e-07
00_baseline,2,1773629139.564635277,60.609748840,-0.002647649,0.000000000,7,BS 7,-85.169635539,LOS,4.12220003909e-07
01_small_low,2,1773629139.564635277,60.609748840,-0.002647649,0.000000000,4,BS 4,-82.792320365,LOS,3.13546763664e-07
01_small_low,2,1773629139.564635277,60.609748840,-0.002647649,0.000000000,5,BS 5,-85.815151949,LOS,4.44064227167e-07
01_small_low,2,1773629139.564635277,60.609748840,-0.002647649,0.000000000,6,BS 6,-88.392569963,LOS,5.97496409682e-07
01_small_low,2,1773629139.564635277,60.609748840,-0.002647649,0.000000000,7,BS 7,-85.169635539,LOS,4.12220003909e-07
02_small_medium,2,1773629139.564635277,60.609748840,-0.002647649,0.000000000,4,BS 4,-82.792320365,LOS,3.13546763664e-07
02_small_medium,2,1773629139.564635277,60.609748840,-0.002647649,0.000000000,5,BS 5,-85.815151949,LOS,4.44064227167e-07
02_small_medium,2,1773629139.564635277,60.609748840,-0.002647649,0.000000000,6,BS 6,-88.392569963,LOS,5.97496409682e-07
02_small_medium,2,1773629139.564635277,60.609748840,-0.002647649,0.000000000,7,BS 7,-85.169635539,LOS,4.12220003909e-07
03_small_high,2,1773629139.564635277,60.609748840,-0.002647649,0.000000000,4,BS 4,-82.792320365,LOS,3.13546763664e-07
03_small_high,2,1773629139.564635277,60.609748840,-0.002647649,0.000000000,5,BS 5,-85.815151949,LOS,4.44064227167e-07
03_small_high,2,1773629139.564635277,60.609748840,-0.002647649,0.000000000,6,BS 6,-88.392569963,LOS,5.97496409682e-07
03_small_high,2,1773629139.564635277,60.609748840,-0.002647649,0.000000000,7,BS 7,-85.169635539,LOS,4.12220003909e-07
