variant,sample_id,bag_time_s,stamp_s,rx_x,rx_y,rx_z,num_anchors,anchors_with_paths,total_paths,strongest_power_db,strongest_anchor_id,strongest_anchor_name,strongest_path_type,strongest_tau_s,strongest_doppler_hz
00_baseline,1,1773629119.565945864,1773629119.554208517,-0.003471627,0.002008343,0.000000000,8,0,0,,,,,,
00_baseline,2,1773629139.575584650,1773629139.564635277,60.609748840,-0.002647649,0.000000000,8,4,5,-82.792320365,4,BS 4,LOS,3.13546763664e-07,-88.330200195
00_baseline,3,1773629159.575654984,1773629159.563061953,56.116195679,49.490306854,0.000000000,8,0,0,,,,,,
00_baseline,4,1773629179.585819960,1773629179.573488951,0.670823336,38.179508209,0.000000000,8,0,0,,,,,,
00_baseline,5,1773629199.585943222,1773629199.571915627,0.005275927,0.027853508,0.000000000,8,0,0,,,,,,
00_baseline,6,1773629219.595603943,1773629219.579342365,0.000117435,0.001863297,0.006773376,8,0,0,,,,,,
01_small_low,1,1773629119.565945864,1773629119.554208517,-0.003471627,0.002008343,0.000000000,8,0,0,,,,,,
01_small_low,2,1773629139.575584650,1773629139.564635277,60.609748840,-0.002647649,0.000000000,8,4,5,-82.792320365,4,BS 4,LOS,3.13546763664e-07,-88.330200195
01_small_low,3,1773629159.575654984,1773629159.563061953,56.116195679,49.490306854,0.000000000,8,0,0,,,,,,
01_small_low,4,1773629179.585819960,1773629179.573488951,0.670823336,38.179508209,0.000000000,8,0,0,,,,,,
01_small_low,5,1773629199.585943222,1773629199.571915627,0.005275927,0.027853508,0.000000000,8,0,0,,,,,,
01_small_low,6,1773629219.595603943,1773629219.579342365,0.000117435,0.001863297,0.006773376,8,0,0,,,,,,
02_small_medium,1,1773629119.565945864,1773629119.554208517,-0.003471627,0.002008343,0.000000000,8,0,0,,,,,,
02_small_medium,2,1773629139.575584650,1773629139.564635277,60.609748840,-0.002647649,0.000000000,8,4,5,-82.792320365,4,BS 4,LOS,3.13546763664e-07,-88.330200195
02_small_medium,3,1773629159.575654984,1773629159.563061953,56.116195679,49.490306854,0.000000000,8,0,0,,,,,,
02_small_medium,4,1773629179.585819960,1773629179.573488951,0.670823336,38.179508209,0.000000000,8,0,0,,,,,,
02_small_medium,5,1773629199.585943222,1773629199.571915627,0.005275927,0.027853508,0.000000000,8,0,0,,,,,,
02_small_medium,6,1773629219.595603943,1773629219.579342365,0.000117435,0.001863297,0.006773376,8,0,0,,,,,,
03_small_high,1,1773629119.565945864,1773629119.554208517,-0.003471627,0.002008343,0.000000000,8,0,0,,,,,,
03_small_high,2,1773629139.575584650,1773629139.564635277,60.609748840,-0.002647649,0.000000000,8,4,5,-82.792320365,4,BS 4,LOS,3.13546763664e-07,-88.330200195
03_small_high,3,1773629159.575654984,1773629159.563061953,56.116195679,49.490306854,0.000000000,8,0,0,,,,,,
03_small_high,4,1773629179.585819960,1773629179.573488951,0.670823336,38.179508209,0.000000000,8,0,0,,,,,,
03_small_high,5,1773629199.585943222,1773629199.571915627,0.005275927,0.027853508,0.000000000,8,0,0,,,,,,
03_small_high,6,1773629219.595603943,1773629219.579342365,0.000117435,0.001863297,0.006773376,8,0,0,,,,,,
